id_student,code_module,code_presentation,totalAssessmentsTaken,meanTMAScore,meanCMAScore,meanExamScore,submittedLate,totalBanked
50993,BBB,2013B,9.0,31.2,65.0,,5.0,0.0
51030,DDD,2014B,6.0,81.8,,73.0,0.0,0.0
51033,DDD,2014J,7.0,90.83333333333333,,53.0,0.0,0.0
51153,DDD,2014J,7.0,63.166666666666664,,53.0,0.0,0.0
51163,DDD,2013J,7.0,68.66666666666667,,84.0,0.0,0.0
51301,BBB,2013J,1.0,93.0,,,0.0,0.0
51485,FFF,2013J,12.0,92.8,90.71428571428571,,5.0,0.0
51576,CCC,2014B,2.0,92.0,50.0,,1.0,0.0
51576,CCC,2014J,2.0,96.0,89.0,,1.0,0.0
51576,FFF,2013J,12.0,82.8,93.14285714285714,,1.0,0.0
51955,DDD,2014J,7.0,54.333333333333336,,22.0,1.0,0.0
52014,DDD,2013B,12.0,40.0,39.0,13.0,7.0,0.0
52130,AAA,2013J,5.0,71.4,,,1.0,0.0
52275,FFF,2014J,1.0,38.0,,,1.0,0.0
52426,BBB,2014B,5.0,55.0,100.0,,2.0,0.0
52702,GGG,2014J,8.0,71.66666666666667,96.0,,2.0,0.0
52765,AAA,2014J,5.0,63.0,,,1.0,0.0
52797,BBB,2013J,11.0,80.5,96.0,,6.0,0.0
52899,BBB,2013B,2.0,72.0,80.0,,2.0,0.0
52899,BBB,2013J,8.0,66.5,100.0,,6.0,0.0
53025,AAA,2013J,5.0,78.0,,,0.0,0.0
53136,FFF,2014B,12.0,72.2,76.28571428571429,,0.0,0.0
53166,FFF,2013J,12.0,67.6,72.85714285714286,,0.0,0.0
53197,FFF,2013B,1.0,0.0,,,0.0,0.0
53300,CCC,2014J,9.0,90.0,89.5,100.0,4.0,0.0
53488,DDD,2013B,14.0,69.5,94.14285714285714,73.0,7.0,0.0
53632,DDD,2014B,4.0,86.0,,,1.0,0.0
53632,DDD,2014J,5.0,87.0,,,0.0,5.0
53709,FFF,2013B,7.0,78.25,83.0,,2.0,0.0
53709,FFF,2014B,12.0,77.8,78.57142857142857,,1.0,7.0
54062,CCC,2014J,3.0,50.0,60.5,,2.0,0.0
54062,EEE,2013J,4.0,89.0,,,0.0,0.0
54391,CCC,2014B,2.0,,44.5,,2.0,0.0
54810,DDD,2014B,2.0,86.0,,,0.0,0.0
54810,DDD,2014J,7.0,70.33333333333333,,53.0,3.0,3.0
54867,FFF,2014B,1.0,74.0,,,0.0,0.0
54882,FFF,2013J,5.0,45.8,,,0.0,0.0
55013,FFF,2013J,4.0,53.25,,,1.0,0.0
55026,BBB,2013J,9.0,62.0,85.0,,6.0,0.0
55104,AAA,2014J,5.0,71.0,,,2.0,0.0
55419,FFF,2013J,2.0,70.0,86.0,,0.0,0.0
55450,FFF,2013B,4.0,74.25,,,1.0,0.0
55968,BBB,2014B,6.0,54.666666666666664,80.0,,4.0,0.0
56637,FFF,2014J,12.0,90.8,83.85714285714286,,1.0,0.0
56667,FFF,2014J,11.0,64.75,68.85714285714286,,10.0,0.0
56789,BBB,2013J,11.0,70.16666666666667,84.0,,5.0,0.0
57079,BBB,2013J,10.0,64.8,84.0,,5.0,0.0
57227,DDD,2013J,6.0,81.4,,67.0,0.0,0.0
57285,BBB,2014J,5.0,54.2,,,0.0,0.0
57340,CCC,2014B,5.0,,70.75,68.0,4.0,0.0
57506,AAA,2013J,5.0,74.0,,,0.0,0.0
57818,DDD,2013J,7.0,93.5,,80.0,0.0,0.0
57844,FFF,2013J,12.0,75.8,86.57142857142857,,2.0,0.0
58071,AAA,2014J,5.0,76.0,,,4.0,0.0
58089,BBB,2013B,2.0,75.0,100.0,,1.0,0.0
58316,AAA,2014J,5.0,73.4,,,1.0,0.0
58549,FFF,2013B,12.0,93.8,92.14285714285714,,0.0,0.0
58617,DDD,2014B,6.0,40.666666666666664,,,2.0,0.0
58640,FFF,2013J,12.0,63.4,70.42857142857143,,0.0,0.0
58653,BBB,2014J,5.0,55.2,,,1.0,0.0
58731,DDD,2014J,7.0,59.0,,40.0,1.0,0.0
58873,AAA,2013J,5.0,73.2,,,1.0,0.0
58884,FFF,2014J,12.0,91.2,88.85714285714286,,1.0,0.0
59185,AAA,2013J,5.0,78.6,,,0.0,0.0
59272,BBB,2014J,4.0,66.25,,,0.0,0.0
59275,DDD,2013J,4.0,52.5,,,0.0,0.0
59370,DDD,2013J,7.0,65.0,,60.0,0.0,0.0
59541,CCC,2014B,1.0,,40.0,,1.0,0.0
59725,BBB,2014B,11.0,84.83333333333333,80.0,,5.0,0.0
60135,DDD,2013B,12.0,71.0,52.714285714285715,40.0,7.0,0.0
60162,GGG,2014J,9.0,62.666666666666664,80.0,,2.0,0.0
60405,GGG,2013J,9.0,79.33333333333333,93.33333333333333,,2.0,0.0
60416,BBB,2014B,11.0,69.16666666666667,100.0,,5.0,0.0
60519,FFF,2013B,4.0,70.0,74.0,,0.0,0.0
60809,CCC,2014J,9.0,93.25,88.0,46.0,4.0,0.0
60809,EEE,2014J,4.0,87.25,,,0.0,0.0
60830,BBB,2014B,10.0,72.2,92.0,,5.0,0.0
61227,CCC,2014J,4.0,,68.25,,4.0,0.0
61236,CCC,2014J,1.0,,56.0,,1.0,0.0
61352,BBB,2014J,1.0,100.0,,,0.0,0.0
61911,DDD,2014B,3.0,83.33333333333333,,,2.0,0.0
62034,EEE,2014J,3.0,79.33333333333333,,,0.0,0.0
62155,AAA,2013J,5.0,76.0,,,0.0,0.0
62278,CCC,2014B,6.0,67.66666666666667,56.666666666666664,,3.0,0.0
62487,AAA,2014J,5.0,71.6,,,2.0,0.0
62631,BBB,2013B,7.0,70.75,93.33333333333333,,5.0,0.0
62975,GGG,2013J,5.0,65.0,100.0,,0.0,0.0
63015,DDD,2014J,7.0,80.66666666666667,,42.0,0.0,0.0
63044,BBB,2013J,5.0,60.0,70.0,,3.0,0.0
63112,EEE,2013J,4.0,87.0,,,0.0,0.0
63112,FFF,2014J,3.0,49.333333333333336,,,0.0,0.0
63165,AAA,2014J,5.0,51.4,,,3.0,0.0
63295,FFF,2013J,11.0,68.25,60.142857142857146,,3.0,0.0
63371,CCC,2014J,9.0,85.75,80.25,46.0,4.0,0.0
63400,AAA,2013J,5.0,71.6,,,0.0,0.0
63467,BBB,2014J,5.0,62.6,,,0.0,0.0
63566,DDD,2013J,7.0,66.0,,36.0,1.0,0.0
63721,BBB,2014B,10.0,84.0,84.0,,6.0,0.0
63827,DDD,2014J,3.0,78.33333333333333,,,0.0,0.0
63856,DDD,2013J,7.0,56.333333333333336,,27.0,3.0,0.0
63949,GGG,2014J,8.0,77.0,92.0,,0.0,0.0
64275,BBB,2014B,10.0,68.5,85.0,,5.0,0.0
64296,CCC,2014B,2.0,92.0,60.0,,1.0,0.0
64296,EEE,2014B,2.0,97.0,,,0.0,0.0
64388,FFF,2013J,11.0,62.5,64.85714285714286,,2.0,0.0
64427,FFF,2014J,12.0,83.8,91.42857142857143,,0.0,0.0
64450,DDD,2014B,7.0,44.833333333333336,,51.0,4.0,0.0
64767,DDD,2014B,4.0,70.0,,,1.0,0.0
64901,GGG,2014B,9.0,57.333333333333336,78.66666666666667,,1.0,0.0
65002,AAA,2013J,2.0,67.0,,,0.0,0.0
65002,AAA,2014J,2.0,67.0,,,0.0,2.0
65656,FFF,2013B,12.0,66.4,83.14285714285714,,2.0,0.0
66047,DDD,2013J,1.0,43.0,,,0.0,0.0
66254,CCC,2014B,6.0,71.33333333333333,73.0,,3.0,0.0
66451,FFF,2013J,12.0,77.2,80.28571428571429,,1.0,0.0
66577,DDD,2013J,3.0,83.0,,,0.0,3.0
66579,DDD,2013B,5.0,57.666666666666664,83.5,,2.0,0.0
66713,EEE,2013J,4.0,76.5,,,0.0,0.0
66892,FFF,2014J,1.0,66.0,,,1.0,0.0
67182,GGG,2013J,9.0,71.66666666666667,80.0,,1.0,0.0
67471,DDD,2013J,7.0,70.33333333333333,,47.0,0.0,0.0
67505,DDD,2013J,4.0,64.25,,,2.0,0.0
67539,EEE,2014J,4.0,66.0,,,0.0,0.0
67602,DDD,2013B,14.0,44.166666666666664,51.142857142857146,49.0,9.0,0.0
67685,EEE,2014J,4.0,81.0,,,0.0,0.0
67781,DDD,2014B,7.0,73.83333333333333,,84.0,1.0,0.0
67785,DDD,2013B,12.0,77.0,73.5,33.0,6.0,0.0
67986,FFF,2014B,2.0,72.0,85.0,,0.0,0.0
68011,DDD,2013J,2.0,81.0,,,0.0,0.0
68107,FFF,2013J,12.0,89.4,87.0,,2.0,0.0
68208,FFF,2013B,12.0,59.0,54.285714285714285,,4.0,0.0
68376,DDD,2013J,6.0,70.0,,69.0,0.0,0.0
68417,DDD,2014J,7.0,79.5,,58.0,0.0,0.0
68556,BBB,2013J,4.0,69.33333333333333,20.0,,2.0,0.0
69346,FFF,2013J,3.0,76.0,93.5,,0.0,0.0
69439,FFF,2014J,3.0,64.0,75.0,,0.0,0.0
69491,DDD,2013B,14.0,60.0,73.28571428571429,51.0,7.0,0.0
69494,CCC,2014B,1.0,,0.0,,1.0,0.0
69494,CCC,2014J,4.0,62.0,0.0,,4.0,0.0
69703,CCC,2014B,9.0,73.5,73.25,84.0,4.0,0.0
70011,AAA,2014J,5.0,80.2,,,0.0,0.0
70214,CCC,2014J,1.0,,33.0,,1.0,0.0
70214,EEE,2013J,4.0,48.0,,,0.0,0.0
70381,CCC,2014B,9.0,74.5,72.5,90.0,4.0,0.0
70464,AAA,2013J,5.0,55.6,,,0.0,0.0
70495,CCC,2014J,9.0,93.75,86.0,84.0,4.0,0.0
70495,FFF,2013J,12.0,86.4,88.28571428571429,,0.0,0.0
70537,EEE,2014B,4.0,80.75,,,0.0,0.0
70569,BBB,2014J,5.0,55.8,,,0.0,0.0
70608,BBB,2013B,11.0,77.66666666666667,92.0,,6.0,0.0
70771,CCC,2014B,1.0,,50.0,,1.0,0.0
70827,EEE,2014J,1.0,62.0,,,1.0,0.0
71159,FFF,2014J,12.0,57.6,70.14285714285714,,9.0,0.0
71209,DDD,2013J,7.0,58.333333333333336,,44.0,0.0,0.0
71252,FFF,2013J,12.0,78.6,78.14285714285714,,0.0,0.0
71361,AAA,2013J,5.0,80.4,,,0.0,0.0
71504,BBB,2014J,5.0,83.8,,,0.0,0.0
71578,FFF,2013B,11.0,78.5,72.85714285714286,,0.0,0.0
71676,DDD,2014J,7.0,62.166666666666664,,47.0,0.0,0.0
71723,CCC,2014J,5.0,78.0,53.333333333333336,,5.0,0.0
71723,DDD,2014B,3.0,45.666666666666664,,,2.0,0.0
72114,FFF,2014B,12.0,82.4,79.28571428571429,,1.0,0.0
72400,BBB,2014B,11.0,75.5,96.0,,9.0,0.0
72609,CCC,2014J,9.0,57.25,51.5,24.0,6.0,0.0
72693,FFF,2013B,12.0,74.6,80.57142857142857,,6.0,0.0
72864,FFF,2013J,9.0,72.25,85.6,,0.0,0.0
73019,DDD,2014J,7.0,45.5,,42.0,0.0,0.0
73489,BBB,2013J,11.0,69.16666666666667,88.0,,6.0,0.0
73584,BBB,2014J,2.0,28.0,,,0.0,0.0
73664,DDD,2014J,2.0,25.0,,,2.0,0.0
73874,BBB,2014J,3.0,84.33333333333333,,,0.0,0.0
74113,FFF,2013B,6.0,49.0,87.0,,0.0,0.0
74165,FFF,2014J,12.0,81.8,91.71428571428571,,1.0,0.0
74290,CCC,2014B,1.0,,10.0,,1.0,0.0
74290,CCC,2014J,1.0,,10.0,,0.0,1.0
74372,AAA,2013J,4.0,48.5,,,2.0,0.0
74502,DDD,2013J,6.0,64.4,,56.0,0.0,0.0
74521,FFF,2014B,11.0,60.0,87.28571428571429,,1.0,0.0
74524,FFF,2014B,1.0,86.0,,,1.0,0.0
74585,BBB,2013J,11.0,86.16666666666667,92.0,,5.0,0.0
74695,BBB,2013B,10.0,91.6,92.0,,5.0,0.0
74734,BBB,2013B,10.0,75.0,95.0,,5.0,0.0
75091,AAA,2013J,5.0,66.0,,,1.0,0.0
75107,FFF,2014J,12.0,92.8,91.57142857142857,,0.0,0.0
75255,AAA,2014J,5.0,81.8,,,2.0,0.0
75399,BBB,2013B,10.0,61.8,84.0,,5.0,0.0
75427,DDD,2014J,7.0,69.66666666666667,,47.0,0.0,0.0
75454,CCC,2014B,9.0,80.0,64.75,66.0,5.0,0.0
75728,CCC,2014B,2.0,,68.5,,2.0,0.0
76081,DDD,2014B,3.0,69.66666666666667,,,1.0,0.0
76081,DDD,2014J,7.0,70.83333333333333,,58.0,0.0,4.0
76536,DDD,2013B,4.0,69.0,65.33333333333333,,0.0,4.0
76579,EEE,2013J,1.0,69.0,,,0.0,0.0
76579,EEE,2014J,3.0,58.0,,,2.0,1.0
76949,CCC,2014J,9.0,74.75,86.75,90.0,5.0,0.0
77241,DDD,2013J,3.0,71.0,,,1.0,0.0
77367,AAA,2013J,5.0,70.4,,,1.0,0.0
77692,FFF,2014J,12.0,82.4,91.71428571428571,,0.0,0.0
77744,FFF,2013J,12.0,81.8,84.0,,0.0,0.0
77746,FFF,2013J,1.0,74.0,,,0.0,0.0
77763,DDD,2013B,14.0,87.83333333333333,93.85714285714286,69.0,10.0,0.0
77845,FFF,2014B,6.0,64.25,76.5,,0.0,0.0
77995,FFF,2014J,11.0,71.25,74.57142857142857,,2.0,0.0
77998,FFF,2013B,7.0,66.75,86.33333333333333,,3.0,0.0
77998,FFF,2014B,11.0,66.75,81.28571428571429,,0.0,7.0
78170,DDD,2013J,7.0,73.66666666666667,,42.0,0.0,0.0
78255,BBB,2013J,1.0,76.0,,,0.0,0.0
78255,BBB,2014B,3.0,69.5,100.0,,2.0,1.0
78645,BBB,2013B,4.0,71.0,80.0,,2.0,0.0
79261,FFF,2013J,12.0,81.4,87.57142857142857,,0.0,0.0
79403,AAA,2014J,3.0,60.666666666666664,,,2.0,0.0
79461,CCC,2014B,7.0,47.333333333333336,23.5,,5.0,0.0
79610,FFF,2014J,12.0,86.6,68.42857142857143,,0.0,0.0
79683,FFF,2014B,2.0,57.0,,,0.0,0.0
80329,CCC,2014B,1.0,,60.0,,1.0,0.0
80329,CCC,2014J,8.0,72.75,89.66666666666667,60.0,5.0,0.0
80329,DDD,2013J,2.0,55.5,,,0.0,0.0
80329,DDD,2014J,5.0,85.0,,84.0,1.0,0.0
80358,EEE,2014J,3.0,62.333333333333336,,,2.0,0.0
80438,FFF,2014J,11.0,69.75,96.71428571428571,,1.0,0.0
80448,GGG,2013J,5.0,64.0,80.0,,0.0,0.0
80491,CCC,2014J,5.0,54.333333333333336,48.0,,3.0,0.0
80717,BBB,2013J,11.0,87.16666666666667,100.0,,5.0,0.0
80745,FFF,2013B,8.0,77.25,84.0,,2.0,0.0
80775,DDD,2014J,7.0,84.16666666666667,,76.0,0.0,0.0
80868,CCC,2014J,5.0,,80.75,70.0,4.0,0.0
80868,DDD,2013J,7.0,75.16666666666667,,58.0,0.0,0.0
80886,FFF,2013B,3.0,92.0,92.5,,0.0,0.0
81351,DDD,2013B,14.0,73.33333333333333,70.85714285714286,0.0,8.0,0.0
81536,FFF,2013J,2.0,68.0,,,0.0,0.0
81754,GGG,2014B,2.0,68.0,100.0,,0.0,0.0
82088,DDD,2013J,3.0,80.33333333333333,,,1.0,0.0
82201,FFF,2014B,2.0,65.0,,,2.0,0.0
82201,FFF,2014J,2.0,65.0,,,0.0,2.0
82341,GGG,2013J,7.0,63.333333333333336,90.0,,2.0,0.0
82535,BBB,2013B,11.0,62.166666666666664,76.0,,5.0,0.0
82556,FFF,2013B,4.0,63.0,93.5,,0.0,0.0
82575,CCC,2014B,9.0,92.75,93.0,100.0,4.0,0.0
82741,BBB,2013B,11.0,64.0,88.0,,6.0,0.0
82817,FFF,2013B,9.0,83.66666666666667,78.0,,3.0,0.0
83219,CCC,2014B,9.0,70.0,61.5,82.0,4.0,0.0
83219,EEE,2014B,4.0,85.5,,,0.0,0.0
83254,BBB,2013B,11.0,63.833333333333336,84.0,,9.0,0.0
83453,CCC,2014B,1.0,,30.0,,1.0,0.0
83553,DDD,2014J,3.0,61.666666666666664,,,1.0,0.0
83588,DDD,2013J,4.0,70.75,,,0.0,4.0
83603,FFF,2014B,12.0,67.6,85.57142857142857,,4.0,0.0
84051,FFF,2013B,3.0,78.0,,,0.0,0.0
